self_control,resting_HR,aggression
2.3,80,7
1.6,84,4
2.1,82,7
2,67,3
2.6,62,6
2.3,90,4
2.3,88,9
2.2,66,7
2.222222222,80,7
2,89,3
2,90,4
2,75,6
2.4,77,7
3.1,69,5
2.1,69,6
1.2,76,3
3.2,50,7
3.9,92,5
2.3,65,4
2.6,66,6
2.5,87,6
1.8,78,3
1.6,60,3
2.1,80,4
1.9,67,3
2.3,72,6
1.5,64,3
2.1,67,5
2.6,57,13
2.4,78,8
2.5,53,10
3.7,69,13
1.8,92,6
2.2,102,6
1.7,65,4
2.4,61,6
2.5,67,8
2.5,86,7
2.1,81,8
2,78,5
2.2,61,5
1.9,59,6
2.1,67,13
1.9,99,4
1.5,88,4
2.2,84,6
2.2,74,4
2.6,69,7
2,97,6
2,64,5
2.2,68,7
2.4,73,10
2.2,77,6
2.5,84,5
1.8,79,6
2.7,75,9
2.3,70,4
2.5,66,6
1,85,3
3.1,87,11
2,85,5
1.8,58,4
2.7,84,6
2.555555556,75,8
1.7,74,6
2.5,81,6
2.3,62,9
2.3,60,8
2.3,73,8
2.1,97,5
2,85,5
1.8,66,7
2,68,4
2.2,75,5
1.9,69,4
2.6,67,10
2,91,4
2,64,3
2.2,57,4
2.8,70,9
2.2,65,7
1.9,57,7
2.7,62,8
2.7,79,6
1.7,91,3
2.7,93,8
2,96,5
2.8,75,7
2.5,66,7
2.5,63,8
2.3,35,5
2.2,67,7
1.8,61,4
2.1,76,4
2,72,4
2.3,79,8
2.2,76,11
2.5,67,5
2.5,70,8
2.4,72,5
2.9,60,10
2,73,6
2.7,76,8
2.7,100,6
2.5,61,4
2.7,53,9
2.5,87,7
1.9,73,7
2.5,66,9
2,87,4
2.5,83,6
2.2,58,4
2,71,5
2.2,74,6
1.9,85,5
2.444444444,72,4
2.1,80,4
2,100,4
2.8,78,8
2.7,55,6
3.4,67,6
2,72,5
2.2,56,5
2.3,82,6
2.9,73,7
2.7,101,3
2,83,6
1.6,80,5
2.1,71,5
2.2,80,8
2.3,69,7
1.3,80,4
1.4,81,4
3.1,71,8
2.5,87,7
2.3,67,5
1.9,78,3
2.4,72,5
1.9,62,6
1.8,83,7
1.8,78,3
2,70,5
3.3,79,13
2.1,76,4
2.3,72,7
2.5,79,5
1.6,78,4
2.9,84,6
2,91,5
3,90,12
2.5,79,7
2.2,80,3
2.2,87,5
2.1,84,4
1.4,71,6
1.3,49,3
2.4,78,9
2.6,55,7
2.8,76,10
2.7,68,9
2.8,75,3
2.9,77,10
1.9,71,4
2.3,63,6
2.8,76,6
1.3,68,4
3,82,10
2.2,73,5
2.8,62,7
2.7,80,8
1.6,85,5
2.7,54,8
2.4,74,4
2.2,93,11
2.3,50,4
2.2,65,4
2.2,57,5
3.1,65,7
1.9,73,5
2.5,83,7
2.2,88,4
2.4,72,6
1.5,54,4
2.7,52,5
2.9,69,8
2.4,83,6
2.5,69,9
1.8,85,4
2.4,68,7
1.8,101,4
2.3,104,5
2.6,73,7
1.9,68,5
2.4,76,6
2.6,71,6
2.9,92,6
2.4,97,7
2.1,72,4
2.4,62,3
1.5,62,5
2.6,59,15
2.5,83,6
1,112,7
3.1,86,9
2.9,64,10
2.555555556,60,10
1.9,70,7
2.3,96,7
1.5,66,4
2,71,9
2.4,88,4
2.1,67,3
2.5,75,5
2.2,79,5
2.6,86,9
1.6,92,3
1.6,67,5
1.6,57,7
2.3,69,6
1.9,87,7
2.4,70,5
2,71,7
1.8,60,6
2.5,84,3
2.3,84,4
2.1,65,7
1.333333333,85,4
2.3,79,5
2.3,93,8
2.6,74,9
2.6,75,8
2.3,64,5
2,72,6
2.3,80,7
2.2,76,9
2.2,75,4
1.6,86,6
2.2,64,3
1.8,90,5
1.9,82,4
2.8,62,10
2.4,85,5
1.8,84,6
1.9,56,4
